time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2021-06-04T09:00:00Z,1.2112,1.21746,1.2104,1.21678,1.2112,1.21746,1.2104,1.21678,62.01716137427678,NaN,NaN,NaN,NaN,62.01716137427678,NaN
2021-06-04T13:00:00Z,1.21678,1.21856,1.21609,1.21614,1.21678,1.21856,1.21609,1.21614,57.45693777116581,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-04T17:00:00Z,1.21614,1.21703,1.21602,1.21668,1.21614,1.21703,1.21602,1.21668,60.51881800484238,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-06T21:00:00Z,1.21668,1.21728,1.21613,1.21673,1.21668,1.21728,1.21613,1.21673,60.84497985456763,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07T01:00:00Z,1.21673,1.21708,1.216,1.2168,1.21673,1.21708,1.216,1.2168,61.40298066712612,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07T05:00:00Z,1.2168,1.21682,1.21449,1.21619,1.2168,1.21682,1.21449,1.21619,53.151946899095826,NaN,NaN,53.151946899095826,NaN,NaN,NaN
2021-06-07T09:00:00Z,1.21619,1.21761,1.21506,1.21634,1.21619,1.21761,1.21506,1.21634,55.01019812797584,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07T13:00:00Z,1.21634,1.22018,1.21614,1.21948,1.21634,1.22018,1.21614,1.21948,77.92359911084043,NaN,NaN,NaN,NaN,77.92359911084043,NaN
2021-06-07T17:00:00Z,1.21948,1.21992,1.21894,1.21894,1.21948,1.21992,1.21894,1.21894,70.23410686194796,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07T21:00:00Z,1.21894,1.21944,1.21826,1.21857,1.21894,1.21944,1.21826,1.21857,64.76069489336226,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T01:00:00Z,1.21857,1.2191,1.21775,1.21794,1.21857,1.2191,1.21775,1.21794,55.547260330952895,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T05:00:00Z,1.21794,1.21854,1.21642,1.21767,1.21794,1.21854,1.21642,1.21767,51.61351096609039,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T09:00:00Z,1.21767,1.21884,1.21682,1.21758,1.21767,1.21884,1.21682,1.21758,50.134175473575375,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T13:00:00Z,1.21758,1.2193,1.21708,1.21782,1.21758,1.2193,1.21708,1.21782,54.482851615588594,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T17:00:00Z,1.21782,1.2182,1.21712,1.2173,1.21782,1.2182,1.21712,1.2173,44.073305372720235,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T21:00:00Z,1.2173,1.21782,1.21712,1.2175,1.2173,1.21782,1.21712,1.2175,48.77833462752187,NaN,NaN,NaN,NaN,NaN,NaN
